Sample,Soredium,Shockleyi,Sequencing Run,Initial 
p_014s_01,0.0993,0.9007,2,shockleyi
p_014s_02,0.1035,0.8964,2,shockleyi
p_014s_03,0.0513,0.9487,2,shockleyi
p_014s_11,0.3726,0.6274,2,shockleyi
p_014s_13,0.1009,0.8990,2,shockleyi
p_014s_15,0.9919,0.0081,2,shockleyi
p_015s_09,0.3710,0.6290,2,shockleyi
p_015s_13,0.3894,0.6105,1,shockleyi
p_015s_14,0.3440,0.6560,1,shockleyi
p_016s_01,0.3890,0.6110,1,shockleyi
p_016s_02,0.4014,0.5985,1,shockleyi
p_016s_03,0.3976,0.6023,1,shockleyi
p_016s_04,0.3775,0.6224,1,shockleyi
p_016s_06,0.3754,0.6246,1,shockleyi
p_016s_07,0.1040,0.8960,2,shockleyi
p_016s_14,0.3705,0.6294,2,shockleyi
p_016s_15,0.3997,0.6003,1,shockleyi
p_017s_01,0.4334,0.5666,1,shockleyi
p_017s_03,0.4237,0.5763,1,shockleyi
p_017s_05,0.3565,0.6434,1,shockleyi
p_017s_06,0.4293,0.5707,2,shockleyi
p_017s_07,0.4767,0.5233,2,shockleyi
p_018s_02,0.0431,0.9569,2,shockleyi
p_018s_06,0.0565,0.9435,2,shockleyi
p_018s_09,0.3654,0.6346,2,shockleyi
p_018s_14,0.1527,0.8473,2,shockleyi
p_019s_01,0.1448,0.8551,2,shockleyi
p_019s_03,0.1011,0.8989,2,shockleyi
p_019s_12,0.4178,0.5822,2,shockleyi
p_020s_01,0.9515,0.0485,2,shockleyi
p_020s_05,0.0730,0.9270,2,shockleyi
p_020s_11,0.0108,0.9892,2,shockleyi
p_020s_13,0.3509,0.6491,2,shockleyi
p_021s_01,0.0647,0.9352,2,shockleyi
p_021s_05,0.1053,0.8947,2,shockleyi
p_021s_08,0.0280,0.9720,2,shockleyi
p_021s_09,0.9701,0.0299,2,shockleyi
p_021s_12,0.0097,0.9903,2,shockleyi
p_021s_14,0.0575,0.9425,2,shockleyi
p_023s_03,0.1355,0.8645,2,shockleyi
p_024s_01,0.1548,0.8452,2,shockleyi
p_024s_06,0.1496,0.8504,2,shockleyi
p_024s_11,0.1511,0.8488,2,shockleyi
p_024s_12,0.1458,0.8542,2,shockleyi
p_025s_03,0.0490,0.9510,2,shockleyi
p_025s_13,0.0442,0.9558,2,shockleyi
p_026s_04,0.1977,0.8023,2,shockleyi
p_026s_05,0.2698,0.7302,2,shockleyi
p_026s_12,0.1744,0.8256,1,shockleyi
p_026s_12r,0.2806,0.7194,1,shockleyi
p_026s_14,0.2571,0.7429,1,shockleyi
p_027s_01,0.2536,0.7464,1,shockleyi
p_027s_03,0.1572,0.8428,1,shockleyi
p_027s_05,0.1233,0.8767,2,shockleyi
p_027s_06,0.1696,0.8303,1,shockleyi
p_027s_12,0.1321,0.8679,2,shockleyi
p_029s_02,0.8283,0.1717,2,soredium
p_029s_03,0.3584,0.6416,2,soredium
p_029s_04,0.0926,0.9073,2,soredium
p_029s_05,0.1656,0.8345,2,soredium
p_029s_09,0.3635,0.6365,2,soredium
p_029s_10,0.7270,0.2730,1,soredium
p_030s_01,0.0706,0.9294,2,shockleyi
p_030s_02,0.1034,0.8966,2,shockleyi
p_030s_04,0.7522,0.2478,2,shockleyi
p_030s_05,0.9964,0.0036,2,shockleyi
p_030s_06,0.3326,0.6674,2,shockleyi
p_030s_07,0.0124,0.9877,2,shockleyi
p_030s_11,0.4172,0.5828,2,shockleyi
p_031s_02,0.9973,0.0027,2,soredium
p_031s_04,0.1026,0.8973,2,soredium
p_031s_05,0.9958,0.0043,2,soredium
p_031s_07,0.1566,0.8433,2,soredium
p_031s_08,0.9973,0.0027,2,soredium
p_031s_11,0.9960,0.0040,1,soredium
p_031s_14,0.0732,0.9268,2,soredium
p_032s_05,0.0157,0.9843,2,shockleyi
p_1027s_02,0.1345,0.8655,2,shockleyi
p_1027s_04,0.1047,0.8953,2,shockleyi
p_1027s_08,0.0934,0.9066,2,shockleyi
p_1027s_09,0.1056,0.8944,2,shockleyi
p_1027s_10,0.9975,0.0025,2,shockleyi
p_1027s_12,0.1034,0.8966,2,shockleyi
p_1027s_12r,0.1041,0.8959,1,shockleyi
p_1027s_18,0.1039,0.8961,2,shockleyi
p_1027s_20,0.1025,0.8974,1,shockleyi
p_GHEs_02,0.3393,0.6607,2,soredium
p_GHEs_03,0.0599,0.9401,2,soredium
p_GHEs_04,0.1257,0.8743,2,soredium
p_GHEs_05,0.1093,0.8906,2,soredium
p_GHEs_06,0.0943,0.9057,2,soredium
p_GHEs_08,0.0751,0.9248,2,soredium
p_GHEs_10,0.1014,0.8986,2,soredium
p_GHs_01,0.0096,0.9904,2,shockleyi
p_GHs_03,0.9707,0.0293,2,shockleyi
p_GHs_06,0.9703,0.0297,2,shockleyi
p_GHs_08,0.9715,0.0285,2,shockleyi
p_GHs_09,0.9667,0.0333,2,shockleyi
p_GHs_10,0.0600,0.9399,2,shockleyi
